Account Balance,Duration of Credit,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Personal Status,Guarantors,Residence,Property,Age,Other installments,Housing,Credit cards,Job,Dependents,Telephone,Foreign Worker,Creditability
0-200,48,Existing credit paid back duly,TV,3979,None,4-7,4,Male-Single,None,1,Car,41,None,Own,2,Employee,2,Yes,Yes,Good
None,48,Existing credit paid back duly,TV,6758,<100,1-4,3,Female-Divorced/Married,None,2,Car,31,None,Own,1,Employee,1,Yes,Yes,Bad
None,24,Existing credit paid back duly,Furniture,3234,<100,<1,4,Female-Divorced/Married,None,4,Real estate,23,None,Rent,1,Unemployed-Resident,1,Yes,Yes,Bad
No Account,30,Other credits,TV,5954,<100,4-7,3,Male-Single,Co-applicant,2,Car,38,None,Own,1,Employee,1,None,Yes,Good
No Account,24,Existing credit paid back duly,Used Car,5433,None,Unemployed,2,Female-Divorced/Married,None,4,Life insurance,26,None,Rent,1,Executive,1,Yes,Yes,Good
None,15,Existing credit paid back duly,Bussiness,806,<100,1-4,4,Female-Divorced/Married,None,4,Life insurance,22,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,9,Existing credit paid back duly,TV,1082,<100,>7,4,Male-Single,None,4,Car,27,None,Own,2,Unemployed-Resident,1,None,Yes,Good
No Account,15,Other credits,Furniture,2788,<100,4-7,2,Female-Divorced/Married,Co-applicant,3,Car,24,Bank,Own,2,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,TV,2930,<100,4-7,2,Female-Divorced/Married,None,1,Real estate,27,None,Own,1,Employee,1,None,Yes,Good
No Account,24,Other credits,Education,1927,None,1-4,3,Female-Divorced/Married,None,2,Car,33,None,Own,2,Employee,1,Yes,Yes,Good
0-200,36,Other credits,New Car,2820,<100,<1,4,Male-Divorced,None,4,Car,27,None,Own,2,Employee,1,None,Yes,Bad
No Account,24,Existing credit paid back duly,Retraining,937,<100,<1,4,Male-Married/Widowed,None,3,Car,27,None,Own,2,Unemployed-Resident,1,None,Yes,Good
0-200,18,Other credits,New Car,1056,<100,>7,3,Male-Single,Guarantor,3,Real estate,30,Bank,Own,2,Employee,1,None,Yes,Bad
0-200,12,Other credits,New Car,3124,<100,<1,1,Male-Single,None,3,Real estate,49,Bank,Own,2,Unemployed-Resident,2,None,Yes,Good
No Account,9,Existing credit paid back duly,Furniture,1388,<100,1-4,4,Female-Divorced/Married,None,2,Real estate,26,None,Rent,1,Employee,1,None,Yes,Good
0-200,36,Existing credit paid back duly,Repairs,2384,<100,<1,4,Male-Single,None,1,None,33,None,Rent,1,Unemployed-Resident,1,None,Yes,Bad
No Account,12,Existing credit paid back duly,New Car,2133,None,>7,4,Female-Divorced/Married,None,4,None,52,None,Free,1,Executive,1,Yes,Yes,Good
None,18,Existing credit paid back duly,Furniture,2039,<100,1-4,1,Female-Divorced/Married,None,4,Real estate,20,Bank,Rent,1,Employee,1,None,Yes,Bad
None,9,Other credits,New Car,2799,<100,1-4,2,Male-Single,None,2,Real estate,36,None,Rent,2,Employee,2,None,Yes,Good
None,12,Existing credit paid back duly,Furniture,1289,<100,1-4,4,Male-Single,Guarantor,1,Life insurance,21,None,Own,1,Unemployed-Resident,1,None,Yes,Good
None,18,Existing credit paid back duly,Appliances,1217,<100,1-4,4,Male-Married/Widowed,None,3,Real estate,47,None,Own,1,Unemployed-Resident,1,Yes,Yes,Bad
None,12,Other credits,Furniture,2246,<100,>7,3,Male-Single,None,3,Life insurance,60,None,Own,2,Employee,1,None,Yes,Bad
None,12,Other credits,TV,385,<100,4-7,4,Female-Divorced/Married,None,3,Real estate,58,None,Own,4,Unemployed-Resident,1,Yes,Yes,Good
0-200,24,Delayed,New Car,1965,None,1-4,4,Female-Divorced/Married,None,4,Car,42,None,Rent,2,Employee,1,Yes,Yes,Good
No Account,21,Existing credit paid back duly,Bussiness,1572,>1000,>7,4,Female-Divorced/Married,None,4,Real estate,36,Bank,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,24,Existing credit paid back duly,New Car,2718,<100,1-4,3,Female-Divorced/Married,None,4,Life insurance,20,None,Rent,1,Unemployed-Resident,1,Yes,Yes,Bad
None,24,All credit paid back duly,Others,1358,None,>7,4,Male-Single,None,3,Car,40,Stores,Own,1,Executive,1,Yes,Yes,Bad
0-200,6,All credit paid back duly,New Car,931,100-500,<1,1,Female-Divorced/Married,None,1,Life insurance,32,Stores,Own,1,Unemployed-Resident,1,None,Yes,Bad
None,24,Existing credit paid back duly,New Car,1442,<100,4-7,4,Female-Divorced/Married,None,4,Car,23,None,Rent,2,Employee,1,None,Yes,Bad
0-200,24,No credit,Bussiness,4241,<100,1-4,1,Male-Single,None,4,Real estate,36,None,Own,3,Unemployed-Resident,1,Yes,Yes,Bad
No Account,18,Other credits,New Car,2775,<100,4-7,2,Male-Single,None,2,Life insurance,31,Bank,Own,2,Employee,1,None,Yes,Bad
No Account,24,Delayed,Bussiness,3863,<100,1-4,1,Male-Single,None,2,None,32,None,Free,1,Employee,1,None,Yes,Good
0-200,7,Existing credit paid back duly,TV,2329,<100,<1,1,Female-Divorced/Married,Guarantor,1,Real estate,45,None,Own,1,Employee,1,None,Yes,Good
0-200,9,Existing credit paid back duly,Furniture,918,<100,1-4,4,Female-Divorced/Married,None,1,Life insurance,30,None,Own,1,Employee,1,None,Yes,Bad
0-200,24,All credit paid back duly,Education,1837,<100,4-7,4,Female-Divorced/Married,None,4,None,34,Bank,Free,1,Unemployed-Resident,1,None,Yes,Bad
No Account,36,Existing credit paid back duly,Furniture,3349,<100,1-4,4,Female-Divorced/Married,None,2,Car,28,None,Own,1,Executive,1,Yes,Yes,Bad
>200,10,Existing credit paid back duly,Furniture,1275,<100,<1,4,Female-Divorced/Married,None,2,Life insurance,23,None,Own,1,Employee,1,None,Yes,Good
None,24,All credit paid back duly,Furniture,2828,500-1000,1-4,4,Male-Single,None,4,Real estate,22,Stores,Own,1,Employee,1,Yes,Yes,Good
No Account,24,Other credits,Bussiness,4526,<100,1-4,3,Male-Single,None,2,Real estate,74,None,Own,1,Executive,1,Yes,Yes,Good
0-200,36,Existing credit paid back duly,TV,2671,100-500,1-4,4,Female-Divorced/Married,Co-applicant,4,None,50,None,Free,1,Employee,1,None,Yes,Bad
No Account,18,Existing credit paid back duly,TV,2051,<100,<1,4,Male-Single,None,1,Real estate,33,None,Own,1,Employee,1,None,Yes,Good
No Account,15,Existing credit paid back duly,Used Car,1300,None,>7,4,Male-Single,None,4,None,45,Bank,Free,1,Employee,2,None,Yes,Good
None,12,Existing credit paid back duly,Appliances,741,100-500,Unemployed,4,Female-Divorced/Married,None,3,Life insurance,22,None,Own,1,Employee,1,None,Yes,Bad
>200,10,Existing credit paid back duly,New Car,1240,100-500,>7,1,Female-Divorced/Married,None,4,None,48,None,Free,1,Unemployed-Resident,2,None,Yes,Bad
None,21,Existing credit paid back duly,TV,3357,>1000,<1,4,Female-Divorced/Married,None,2,Car,29,Bank,Own,1,Employee,1,None,Yes,Good
None,24,All credit paid back duly,Used Car,3632,<100,1-4,1,Female-Divorced/Married,Guarantor,4,Car,22,Bank,Rent,1,Employee,1,None,No,Good
No Account,18,Delayed,Furniture,1808,<100,4-7,4,Female-Divorced/Married,None,1,Real estate,22,None,Own,1,Employee,1,None,Yes,Bad
0-200,48,No credit,Bussiness,12204,None,1-4,2,Male-Single,None,2,Car,48,Bank,Own,1,Executive,1,Yes,Yes,Good
0-200,60,Delayed,TV,9157,None,1-4,2,Male-Single,None,2,None,27,None,Free,1,Executive,1,None,Yes,Good
None,6,Other credits,New Car,3676,<100,1-4,1,Male-Single,None,3,Real estate,37,None,Rent,3,Employee,2,None,Yes,Good
0-200,30,Existing credit paid back duly,Furniture,3441,100-500,1-4,2,Female-Divorced/Married,Co-applicant,4,Car,21,None,Rent,1,Employee,1,None,Yes,Bad
No Account,12,Existing credit paid back duly,New Car,640,<100,1-4,4,Male-Divorced,None,2,Real estate,49,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,21,Other credits,Bussiness,3652,<100,4-7,2,Male-Single,None,3,Life insurance,27,None,Own,2,Employee,1,None,Yes,Good
No Account,18,Other credits,New Car,1530,<100,1-4,3,Male-Single,None,2,Life insurance,32,Bank,Own,2,Employee,1,None,Yes,Bad
No Account,48,Existing credit paid back duly,Bussiness,3914,None,1-4,4,Male-Divorced,None,2,Real estate,38,Bank,Own,1,Employee,1,None,Yes,Bad
None,12,Existing credit paid back duly,Furniture,1858,<100,<1,4,Female-Divorced/Married,None,1,Car,22,None,Rent,1,Employee,1,None,Yes,Good
None,18,Existing credit paid back duly,TV,2600,<100,1-4,4,Male-Single,None,4,None,65,None,Free,2,Employee,1,None,Yes,Bad
No Account,15,Existing credit paid back duly,TV,1979,None,>7,4,Male-Single,None,2,Car,35,None,Own,1,Employee,1,None,Yes,Good
>200,6,Existing credit paid back duly,Furniture,2116,<100,1-4,2,Male-Single,None,2,Real estate,41,None,Own,1,Employee,1,Yes,Yes,Good
0-200,9,All credit paid back duly,New Car,1437,100-500,4-7,2,Male-Single,None,3,None,29,None,Own,1,Employee,1,None,Yes,Bad
No Account,42,Other credits,Furniture,4042,500-1000,1-4,4,Male-Single,None,4,Real estate,36,None,Own,2,Employee,1,Yes,Yes,Good
No Account,9,Existing credit paid back duly,Education,3832,None,>7,1,Male-Single,None,4,Real estate,64,None,Own,1,Unemployed-Resident,1,None,Yes,Good
None,24,Existing credit paid back duly,TV,3660,<100,1-4,2,Female-Divorced/Married,None,4,Car,28,None,Own,1,Employee,1,None,Yes,Good
None,18,All credit paid back duly,Furniture,1553,<100,1-4,4,Male-Single,None,3,Car,44,Bank,Own,1,Employee,1,None,Yes,Bad
0-200,15,Existing credit paid back duly,TV,1444,None,<1,4,Male-Single,None,1,Life insurance,23,None,Own,1,Employee,1,None,Yes,Good
No Account,9,Existing credit paid back duly,Furniture,1980,<100,<1,2,Female-Divorced/Married,Co-applicant,2,Car,19,None,Rent,2,Employee,1,None,Yes,Bad
0-200,24,Existing credit paid back duly,New Car,1355,<100,<1,3,Female-Divorced/Married,None,4,Car,25,None,Own,1,Unemployed-Resident,1,Yes,Yes,Bad
No Account,12,Existing credit paid back duly,Education,1393,<100,>7,4,Male-Single,None,4,Life insurance,47,Bank,Own,3,Employee,2,Yes,Yes,Good
No Account,24,Existing credit paid back duly,TV,1376,500-1000,4-7,4,Female-Divorced/Married,None,1,Car,28,None,Own,1,Employee,1,None,Yes,Good
No Account,60,Delayed,TV,15653,<100,4-7,2,Male-Single,None,4,Car,21,None,Own,2,Employee,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,TV,1493,<100,<1,4,Female-Divorced/Married,None,3,Car,34,None,Own,1,Employee,2,None,Yes,Good
None,42,Delayed,TV,4370,<100,4-7,3,Male-Single,None,2,Life insurance,26,Bank,Own,2,Employee,2,Yes,Yes,Bad
None,18,Existing credit paid back duly,Education,750,<100,Unemployed,4,Female-Divorced/Married,None,1,Real estate,27,None,Own,1,Unemployed-Nonresident,1,None,Yes,Bad
0-200,15,Existing credit paid back duly,Repairs,1308,<100,>7,4,Male-Single,None,4,Car,38,None,Own,2,Unemployed-Resident,1,None,Yes,Good
No Account,15,Existing credit paid back duly,Education,4623,100-500,1-4,3,Male-Single,None,2,Life insurance,40,None,Own,1,Executive,1,Yes,Yes,Bad
No Account,24,Other credits,TV,1851,<100,4-7,4,Male-Married/Widowed,Guarantor,2,Car,33,None,Own,2,Employee,1,Yes,Yes,Good
None,18,Other credits,TV,1880,<100,4-7,4,Male-Married/Widowed,None,1,Life insurance,32,None,Own,2,Executive,1,Yes,Yes,Good
No Account,36,Delayed,Bussiness,7980,None,<1,4,Male-Single,None,4,Car,27,None,Rent,2,Employee,1,Yes,Yes,Bad
None,30,No credit,Furniture,4583,<100,1-4,2,Male-Divorced,Guarantor,2,Real estate,32,None,Own,2,Employee,1,None,Yes,Good
No Account,12,Existing credit paid back duly,New Car,1386,500-1000,1-4,2,Female-Divorced/Married,None,2,Life insurance,26,None,Own,1,Employee,1,None,Yes,Bad
>200,24,Existing credit paid back duly,New Car,947,<100,4-7,4,Male-Single,None,3,None,38,Bank,Free,1,Employee,2,None,Yes,Bad
None,12,Existing credit paid back duly,Education,684,<100,1-4,4,Male-Single,None,4,Car,40,None,Rent,1,Unemployed-Resident,2,None,Yes,Bad
None,48,Existing credit paid back duly,Education,7476,<100,4-7,4,Male-Single,None,1,None,50,None,Free,1,Executive,1,Yes,Yes,Good
0-200,12,Existing credit paid back duly,Furniture,1922,<100,1-4,4,Male-Single,None,2,Life insurance,37,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
None,24,Existing credit paid back duly,New Car,2303,<100,>7,4,Male-Single,Co-applicant,1,Real estate,45,None,Own,1,Employee,1,None,Yes,Bad
0-200,36,Delayed,New Car,8086,100-500,>7,2,Male-Single,None,4,Car,42,None,Own,4,Executive,1,Yes,Yes,Bad
No Account,24,Other credits,Used Car,2346,<100,4-7,4,Male-Single,None,3,Car,35,None,Own,2,Employee,1,Yes,Yes,Good
None,14,Existing credit paid back duly,New Car,3973,<100,Unemployed,1,Male-Single,None,4,None,22,None,Free,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,New Car,888,<100,>7,4,Male-Single,None,4,Car,41,Bank,Own,1,Unemployed-Resident,2,None,Yes,Bad
No Account,48,Existing credit paid back duly,TV,10222,None,4-7,4,Male-Single,None,3,Car,37,Stores,Own,1,Employee,1,Yes,Yes,Good
0-200,30,No credit,Bussiness,4221,<100,1-4,2,Female-Divorced/Married,None,1,Car,28,None,Own,2,Employee,1,None,Yes,Good
0-200,18,Other credits,Furniture,6361,<100,>7,2,Male-Single,None,1,None,41,None,Own,1,Employee,1,Yes,Yes,Good
>200,12,Existing credit paid back duly,TV,1297,<100,1-4,3,Male-Married/Widowed,None,4,Real estate,23,None,Rent,1,Employee,1,None,Yes,Good
None,12,Existing credit paid back duly,New Car,900,None,1-4,4,Male-Married/Widowed,None,2,Car,23,None,Own,1,Employee,1,None,Yes,Bad
No Account,21,Existing credit paid back duly,Furniture,2241,<100,>7,4,Male-Single,None,2,Real estate,50,None,Own,2,Employee,1,None,Yes,Good
0-200,6,Delayed,Furniture,1050,<100,Unemployed,4,Male-Single,None,1,Life insurance,35,Stores,Own,2,Executive,1,Yes,Yes,Good
>200,6,Other credits,Education,1047,<100,1-4,2,Female-Divorced/Married,None,4,Life insurance,50,None,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,24,Other credits,Others,6314,<100,Unemployed,4,Male-Single,Co-applicant,2,None,27,Bank,Own,2,Executive,1,Yes,Yes,Good
0-200,30,All credit paid back duly,Furniture,3496,>1000,1-4,4,Male-Single,None,2,Car,34,Stores,Own,1,Employee,2,Yes,Yes,Good
No Account,48,All credit paid back duly,Bussiness,3609,<100,1-4,1,Female-Divorced/Married,None,1,Real estate,27,Stores,Own,1,Employee,1,None,Yes,Good
None,12,Other credits,New Car,4843,<100,>7,3,Male-Single,Co-applicant,4,Life insurance,43,None,Rent,2,Employee,1,Yes,Yes,Bad
>200,30,Other credits,TV,3017,<100,>7,4,Male-Single,None,4,Life insurance,47,None,Own,1,Employee,1,None,Yes,Good
No Account,24,Other credits,Bussiness,4139,100-500,1-4,3,Male-Single,None,3,Life insurance,27,None,Own,2,Unemployed-Resident,1,Yes,Yes,Good
No Account,36,Existing credit paid back duly,Bussiness,5742,100-500,4-7,2,Male-Single,None,2,Car,31,None,Own,2,Employee,1,Yes,Yes,Good
No Account,60,Existing credit paid back duly,New Car,10366,<100,>7,2,Male-Single,None,4,Life insurance,42,None,Own,1,Executive,1,Yes,Yes,Good
No Account,6,Other credits,New Car,2080,500-1000,1-4,1,Male-Married/Widowed,None,2,Car,24,None,Own,1,Employee,1,None,Yes,Good
No Account,21,Delayed,Bussiness,2580,500-1000,<1,4,Male-Single,None,2,Real estate,41,Bank,Own,1,Unemployed-Resident,2,None,Yes,Bad
No Account,30,Other credits,TV,4530,<100,4-7,4,Female-Divorced/Married,None,4,Car,26,None,Rent,1,Executive,1,Yes,Yes,Good
No Account,24,Other credits,Furniture,5150,<100,>7,4,Male-Single,None,4,Car,33,None,Own,1,Employee,1,Yes,Yes,Good
0-200,72,Existing credit paid back duly,TV,5595,100-500,1-4,2,Male-Married/Widowed,None,2,Car,24,None,Own,1,Employee,1,None,Yes,Bad
None,24,Existing credit paid back duly,TV,2384,<100,>7,4,Male-Single,None,4,Real estate,64,Bank,Rent,1,Unemployed-Resident,1,None,Yes,Good
No Account,18,Existing credit paid back duly,TV,1453,<100,<1,3,Female-Divorced/Married,None,1,Real estate,26,None,Own,1,Employee,1,None,Yes,Good
No Account,6,Existing credit paid back duly,Education,1538,<100,<1,1,Female-Divorced/Married,None,2,None,56,None,Own,1,Employee,1,None,Yes,Good
No Account,12,Existing credit paid back duly,TV,2279,None,1-4,4,Male-Single,None,4,None,37,None,Free,1,Employee,1,Yes,Yes,Good
No Account,15,Delayed,TV,1478,<100,1-4,4,Male-Married/Widowed,None,3,Real estate,33,Bank,Own,2,Employee,1,None,Yes,Good
No Account,24,Other credits,TV,5103,<100,<1,3,Male-Married/Widowed,None,3,None,47,None,Free,3,Employee,1,Yes,Yes,Good
0-200,36,Delayed,Bussiness,9857,100-500,4-7,1,Male-Single,None,3,Life insurance,31,None,Own,2,Unemployed-Resident,2,Yes,Yes,Good
No Account,60,Existing credit paid back duly,New Car,6527,None,1-4,4,Male-Single,None,4,None,34,None,Free,1,Employee,2,Yes,Yes,Good
>200,10,Other credits,TV,1347,None,4-7,4,Male-Single,None,2,Life insurance,27,None,Own,2,Employee,1,Yes,Yes,Good
0-200,36,Delayed,New Car,2862,100-500,>7,4,Male-Single,None,3,None,30,None,Free,1,Employee,1,None,Yes,Good
No Account,9,Existing credit paid back duly,TV,2753,100-500,>7,3,Male-Single,Co-applicant,4,Car,35,None,Own,1,Employee,1,Yes,Yes,Good
None,12,Existing credit paid back duly,New Car,3651,>1000,1-4,1,Male-Single,None,3,Life insurance,31,None,Own,1,Employee,2,None,Yes,Good
None,15,Other credits,Furniture,975,<100,1-4,2,Male-Divorced,None,3,Life insurance,25,None,Own,2,Employee,1,None,Yes,Good
0-200,15,Existing credit paid back duly,Repairs,2631,100-500,1-4,3,Female-Divorced/Married,None,2,Real estate,25,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,24,Existing credit paid back duly,TV,2896,100-500,<1,2,Male-Single,None,1,Car,29,None,Own,1,Employee,1,None,Yes,Good
None,6,Other credits,New Car,4716,None,<1,1,Male-Single,None,3,Real estate,44,None,Own,2,Unemployed-Resident,2,None,Yes,Good
No Account,24,Existing credit paid back duly,TV,2284,<100,4-7,4,Male-Single,None,2,Car,28,None,Own,1,Employee,1,Yes,Yes,Good
No Account,6,Existing credit paid back duly,Used Car,1236,500-1000,1-4,2,Male-Single,None,4,Life insurance,50,None,Rent,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,TV,1103,<100,4-7,4,Male-Single,Guarantor,3,Real estate,29,None,Own,2,Employee,1,None,No,Good
No Account,12,Other credits,New Car,926,<100,Unemployed,1,Female-Divorced/Married,None,2,Life insurance,38,None,Own,1,Unemployed-Nonresident,1,None,Yes,Good
No Account,18,Other credits,TV,1800,<100,1-4,4,Male-Single,None,2,Car,24,None,Own,2,Employee,1,None,Yes,Good
>200,15,Existing credit paid back duly,Education,1905,<100,>7,4,Male-Single,None,4,Car,40,None,Rent,1,Executive,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,Furniture,1123,500-1000,1-4,4,Female-Divorced/Married,None,4,Car,29,None,Rent,1,Unemployed-Resident,1,None,Yes,Bad
None,48,Other credits,Used Car,6331,<100,>7,4,Male-Single,None,4,None,46,None,Free,2,Employee,1,Yes,Yes,Bad
>200,24,Existing credit paid back duly,TV,1377,100-500,>7,4,Female-Divorced/Married,None,2,None,47,None,Free,1,Employee,1,Yes,Yes,Good
0-200,30,Delayed,Bussiness,2503,100-500,>7,4,Male-Single,None,2,Life insurance,41,Stores,Own,2,Employee,1,None,Yes,Good
0-200,27,Existing credit paid back duly,Bussiness,2528,<100,<1,4,Female-Divorced/Married,None,1,Life insurance,32,None,Own,1,Employee,2,Yes,Yes,Good
No Account,15,Existing credit paid back duly,New Car,5324,500-1000,>7,1,Female-Divorced/Married,None,4,None,35,None,Free,1,Employee,1,None,Yes,Good
0-200,48,Existing credit paid back duly,New Car,6560,100-500,4-7,3,Male-Single,None,2,Life insurance,24,None,Own,1,Employee,1,None,Yes,Bad
0-200,12,No credit,Furniture,2969,<100,<1,4,Female-Divorced/Married,None,3,Life insurance,25,None,Rent,2,Employee,1,None,Yes,Bad
0-200,9,Existing credit paid back duly,TV,1206,<100,>7,4,Female-Divorced/Married,None,4,Real estate,25,None,Own,1,Employee,1,None,Yes,Good
0-200,9,Existing credit paid back duly,TV,2118,<100,1-4,2,Male-Single,None,2,Real estate,37,None,Own,1,Unemployed-Resident,2,None,Yes,Good
No Account,18,Other credits,TV,629,500-1000,>7,4,Male-Single,None,3,Life insurance,32,Bank,Own,2,Executive,1,Yes,Yes,Good
None,6,All credit paid back duly,Education,1198,<100,>7,4,Female-Divorced/Married,None,4,None,35,None,Free,1,Employee,1,None,Yes,Bad
No Account,21,Existing credit paid back duly,Used Car,2476,None,>7,4,Male-Single,None,4,Real estate,46,None,Own,1,Executive,1,Yes,Yes,Good
None,9,Other credits,TV,1138,<100,1-4,4,Male-Single,None,4,Real estate,25,None,Own,2,Unemployed-Resident,1,None,Yes,Good
0-200,60,Existing credit paid back duly,New Car,14027,<100,4-7,4,Male-Single,None,2,None,27,None,Own,1,Executive,1,Yes,Yes,Bad
No Account,30,Other credits,Used Car,7596,None,>7,1,Male-Single,None,4,Car,63,None,Own,2,Employee,1,None,Yes,Good
No Account,30,Other credits,TV,3077,None,>7,3,Male-Single,None,2,Car,40,None,Own,2,Employee,2,Yes,Yes,Good
No Account,18,Existing credit paid back duly,TV,1505,<100,1-4,4,Male-Single,None,2,None,32,None,Free,1,Executive,1,Yes,Yes,Good
>200,24,Other credits,TV,3148,None,1-4,3,Male-Single,None,2,Car,31,None,Own,2,Employee,1,Yes,Yes,Good
0-200,20,No credit,Used Car,6148,100-500,>7,3,Male-Married/Widowed,None,4,Car,31,Bank,Own,2,Employee,1,Yes,Yes,Good
>200,9,No credit,TV,1337,<100,<1,4,Male-Single,None,2,Car,34,None,Own,2,Executive,1,Yes,Yes,Bad
0-200,6,All credit paid back duly,Education,433,>1000,<1,4,Female-Divorced/Married,None,2,Life insurance,24,Bank,Rent,1,Employee,2,None,Yes,Bad
None,12,Existing credit paid back duly,New Car,1228,<100,1-4,4,Female-Divorced/Married,None,2,Real estate,24,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
0-200,9,Existing credit paid back duly,TV,790,500-1000,1-4,4,Female-Divorced/Married,None,3,Real estate,66,None,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,27,Existing credit paid back duly,New Car,2570,<100,1-4,3,Female-Divorced/Married,None,3,Real estate,21,None,Rent,1,Employee,1,None,Yes,Bad
No Account,6,Other credits,New Car,250,>1000,1-4,2,Female-Divorced/Married,None,2,Real estate,41,Bank,Own,2,Unemployed-Resident,1,None,Yes,Good
No Account,15,Other credits,TV,1316,500-1000,1-4,2,Male-Married/Widowed,None,2,Life insurance,47,None,Own,2,Unemployed-Resident,1,None,Yes,Good
None,18,Existing credit paid back duly,TV,1882,<100,1-4,4,Female-Divorced/Married,None,4,Car,25,Bank,Rent,2,Employee,1,None,Yes,Bad
0-200,48,All credit paid back duly,Bussiness,6416,<100,>7,4,Female-Divorced/Married,None,3,None,59,None,Rent,1,Employee,1,None,Yes,Bad
>200,24,Other credits,Bussiness,1275,>1000,1-4,2,Male-Divorced,None,4,Real estate,36,None,Own,2,Employee,1,Yes,Yes,Good
0-200,24,Delayed,TV,6403,<100,<1,1,Male-Single,None,2,Car,33,None,Own,1,Employee,1,None,Yes,Good
None,24,Existing credit paid back duly,TV,1987,<100,1-4,2,Male-Single,None,4,Real estate,21,None,Rent,1,Unemployed-Resident,2,None,Yes,Bad
0-200,8,Existing credit paid back duly,TV,760,<100,4-7,4,Female-Divorced/Married,Guarantor,2,Real estate,44,None,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,24,Existing credit paid back duly,Used Car,2603,>1000,1-4,2,Female-Divorced/Married,None,4,Car,28,None,Rent,1,Employee,1,Yes,Yes,Good
No Account,4,Other credits,New Car,3380,<100,4-7,1,Female-Divorced/Married,None,1,Real estate,37,None,Own,1,Employee,2,None,Yes,Good
0-200,36,All credit paid back duly,Appliances,3990,None,<1,3,Female-Divorced/Married,None,2,None,29,Bank,Own,1,Unemployed-Nonresident,1,None,Yes,Good
0-200,24,Existing credit paid back duly,Used Car,11560,<100,1-4,1,Female-Divorced/Married,None,4,Car,23,None,Rent,2,Executive,1,None,Yes,Bad
None,18,Existing credit paid back duly,New Car,4380,100-500,1-4,3,Male-Single,None,4,Car,35,None,Own,1,Unemployed-Resident,2,Yes,Yes,Good
No Account,6,Other credits,New Car,6761,<100,4-7,1,Male-Single,None,3,None,45,None,Own,2,Executive,2,Yes,Yes,Good
0-200,30,No credit,Bussiness,4280,100-500,1-4,4,Female-Divorced/Married,None,4,Car,26,None,Rent,2,Unemployed-Resident,1,None,Yes,Bad
None,24,All credit paid back duly,New Car,2325,100-500,4-7,2,Male-Single,None,3,Car,32,Bank,Own,1,Employee,1,None,Yes,Good
0-200,10,All credit paid back duly,TV,1048,<100,1-4,4,Male-Single,None,4,Real estate,23,Stores,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,21,Existing credit paid back duly,TV,3160,None,>7,4,Male-Single,None,3,Life insurance,41,None,Own,1,Employee,1,Yes,Yes,Good
None,24,All credit paid back duly,Furniture,2483,500-1000,1-4,4,Male-Single,None,4,Real estate,22,Stores,Own,1,Employee,1,Yes,Yes,Good
None,39,Other credits,Furniture,14179,None,4-7,4,Male-Single,None,4,Life insurance,30,None,Own,2,Executive,1,Yes,Yes,Good
None,13,Other credits,Bussiness,1797,<100,<1,3,Male-Single,None,1,Life insurance,28,Bank,Own,2,Unemployed-Resident,1,None,Yes,Good
None,15,Existing credit paid back duly,New Car,2511,<100,Unemployed,1,Female-Divorced/Married,None,4,Car,23,None,Rent,1,Employee,1,None,Yes,Good
None,12,Existing credit paid back duly,New Car,1274,<100,<1,3,Female-Divorced/Married,None,1,Real estate,37,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
No Account,21,Existing credit paid back duly,Used Car,5248,None,1-4,1,Male-Single,None,3,Car,26,None,Own,1,Employee,1,None,Yes,Good
No Account,15,Existing credit paid back duly,Used Car,3029,<100,4-7,2,Male-Single,None,2,Car,33,None,Own,1,Employee,1,None,Yes,Good
None,6,Existing credit paid back duly,Furniture,428,<100,>7,2,Female-Divorced/Married,None,1,Life insurance,49,Bank,Own,1,Employee,1,Yes,Yes,Good
None,18,Existing credit paid back duly,New Car,976,<100,<1,1,Female-Divorced/Married,None,2,Car,23,None,Own,1,Unemployed-Resident,1,None,Yes,Bad
0-200,12,Existing credit paid back duly,Bussiness,841,100-500,4-7,2,Female-Divorced/Married,None,4,Real estate,23,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
No Account,30,Other credits,TV,5771,<100,4-7,4,Female-Divorced/Married,None,2,Car,25,None,Own,2,Employee,1,None,Yes,Good
No Account,12,Delayed,Repairs,1555,>1000,>7,4,Male-Single,None,4,None,55,None,Free,2,Employee,2,None,Yes,Bad
None,24,Existing credit paid back duly,New Car,1285,None,4-7,4,Female-Divorced/Married,None,4,None,32,None,Rent,1,Employee,1,None,Yes,Bad
